,media global,cluster 0,cluster 1,cluster 2,cluster 3
Int/90,0.755276082864331,0.7926213802297404,0.6322279552325185,0.3872877011377293,1.1452944937358454
TklW/90,1.0933393255605082,1.0920301147126805,1.1139813759964026,0.6373572550603053,1.4776765028839751
Fls/90,1.2747050908234145,0.9233813522327274,1.617058491961393,0.9416846844156106,1.593357576440676
Fld/90,1.3191507236001856,0.8973857234066727,1.8350894445957657,1.3904906558138486,1.2035955558748461
CrdY/90,0.22088868221712338,0.14662470153641222,0.29540217957646314,0.12274419232022632,0.3108474694791753
Crs/90,2.32937296749487,2.8738327488780966,2.4711928675300583,3.167732648314476,1.0089159767497846
Off/90,0.1738011934969234,0.09635819222256625,0.24988312515222905,0.3287490994714332,0.04327017701580622
Ast/90,0.11872379216043756,0.11558052434456928,0.1128,0.20483394833948337,0.050711974110032365
G-PK/90,0.12597082953509572,0.04805243445692884,0.174,0.2545018450184502,0.041715210355987055
Sh/90,1.4554147675478577,0.8982397003745319,1.8848,2.3112546125461257,0.8388673139158576
