league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,dist_centroide
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32.0,1991.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,84.2,32,90.0,32,0,,6,1.72,44.0,29.0,15.0,0.47,-0.7,0.0,0.0,4.0,0.0,0.0,1.0,1.0,,,0.0,29.0,0.91,105.0,79.0,72.4,14.0,13.0,5.0,12.0,37.5,6.0,3.0,1.0,2.0,25.0,True,alta,2,1.0654656663787405
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27.0,1996.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,18.4,7,90.0,7,0,,31,0.29,2.0,12.0,-10.0,-1.43,-0.91,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,0.0,12.0,1.71,28.0,16.0,57.1,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,,False,baja,0,2.5876598141541827
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27.0,1996.0,31.0,31.0,2789.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,81.5,31,90.0,30,0,,7,1.1,40.0,55.0,-15.0,-0.48,1.08,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,,0.0,55.0,1.77,134.0,79.0,59.0,8.0,10.0,13.0,3.0,9.7,3.0,3.0,0.0,0.0,0.0,True,alta,1,2.140937367068972
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,21.0,2001.0,23.0,23.0,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,60.5,23,90.0,23,0,,9,1.04,19.0,27.0,-8.0,-0.35,0.79,0.0,1.0,7.0,0.0,0.0,0.0,0.0,,,0.0,27.0,1.17,106.0,79.0,74.5,6.0,6.0,11.0,4.0,17.4,5.0,4.0,1.0,0.0,20.0,True,alta,0,1.9250610789240037
ITA-Serie A,2324,Empoli,Etrit Berisha,ALB,GK,34.0,1989.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,36.8,14,90.0,14,0,,12,0.86,10.0,25.0,-15.0,-1.07,-0.65,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,25.0,1.79,74.0,49.0,66.2,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,False,baja,1,1.5663700616297656
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33.0,1990.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,86.8,33,90.0,33,0,,5,1.61,50.0,35.0,15.0,0.45,0.45,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0,35.0,1.06,126.0,91.0,72.2,15.0,8.0,10.0,8.0,24.2,7.0,6.0,1.0,0.0,14.3,True,alta,2,1.2399781343626275
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,24.0,1999.0,8.0,7.0,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,84.0,19.7,7,90.0,7,1,45.0,30,1.38,7.0,11.0,-4.0,-0.53,0.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,11.0,1.47,29.0,18.0,62.1,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,,False,baja,1,3.4308886260987594
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,21.0,2001.0,31.0,31.0,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,80.3,31,89.0,30,0,,2,0.87,37.0,58.0,-21.0,-0.69,-0.16,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,58.0,1.9,155.0,97.0,62.6,6.0,9.0,16.0,4.0,12.9,7.0,5.0,1.0,1.0,16.7,True,alta,1,0.5123391085218678
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25.0,1998.0,36.0,36.0,3239.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,94.7,36,90.0,35,0,,1,1.28,43.0,43.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,,,0.0,43.0,1.19,130.0,87.0,66.9,11.0,13.0,12.0,8.0,22.2,4.0,3.0,1.0,0.0,25.0,True,alta,0,1.5266748695471344
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,27.0,1996.0,37.0,37.0,3330.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,37.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.4,37,90.0,37,0,,0,1.0,36.0,49.0,-13.0,-0.35,-0.35,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,0.0,49.0,1.32,153.0,105.0,68.0,9.0,10.0,18.0,8.0,21.6,2.0,2.0,0.0,0.0,0.0,True,alta,2,1.7655145852753702
