league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
GER-Bundesliga,2324,Freiburg,Merlin Röhl,GER,"MF,FW",21.0,2002.0,24.0,17.0,1477.0,16.4,2.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,0.12,0.24,0.37,0.12,0.37,16.4,2.0,24.0,8.0,33.3,1.46,0.49,0.08,0.25,0.0,0.0,62.0,48.3,17,74.0,3,7,31.0,3,1.29,21.0,29.0,-8.0,-0.49,-0.2,0.0,35.0,28.0,2.0,16.0,9.0,13.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,1.9965712929260382
GER-Bundesliga,2324,Freiburg,Nicolas Höfler,GER,MF,33.0,1990.0,28.0,26.0,2330.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.08,0.04,0.08,25.9,1.0,16.0,1.0,6.3,0.62,0.04,0.06,1.0,0.0,0.0,83.0,76.1,26,89.0,22,2,13.0,0,1.18,37.0,46.0,-9.0,-0.35,0.15,0.0,29.0,31.0,0.0,2.0,32.0,37.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,1.4414974671447276
GER-Bundesliga,2324,Freiburg,Noah Weißhaupt,GER,MF,21.0,2001.0,24.0,6.0,759.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.12,0.24,0.36,0.12,0.36,8.4,1.0,4.0,1.0,25.0,0.47,0.12,0.25,1.0,0.0,0.0,32.0,24.8,6,82.0,3,18,15.0,3,1.04,13.0,15.0,-2.0,-0.24,0.19,0.0,8.0,31.0,2.0,50.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,False,baja,2,Interior ofensivo,3.8961395577872393
GER-Bundesliga,2324,Freiburg,Ritsu Doan,JPN,MF,25.0,1998.0,30.0,26.0,2246.0,25.0,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,0.28,0.08,0.36,0.28,0.36,25.0,7.0,37.0,19.0,51.4,1.48,0.76,0.19,0.37,0.0,0.0,75.0,73.4,26,83.0,13,4,24.0,0,1.27,32.0,39.0,-7.0,-0.28,0.38,0.0,26.0,35.0,2.0,61.0,8.0,25.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,2.0148258247812736
GER-Bundesliga,2324,Freiburg,Roland Sallai,HUN,"MF,FW",26.0,1997.0,27.0,22.0,1840.0,20.4,3.0,2.0,5.0,3.0,0.0,1.0,6.0,0.0,0.15,0.1,0.24,0.15,0.24,20.4,3.0,56.0,19.0,33.9,2.74,0.93,0.05,0.16,0.0,1.0,68.0,60.1,22,79.0,5,5,21.0,0,1.33,26.0,35.0,-9.0,-0.44,-0.15,0.0,41.0,42.0,11.0,75.0,5.0,11.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,2.6023235474539534
GER-Bundesliga,2324,Freiburg,Vincenzo Grifo,ITA,MF,30.0,1993.0,32.0,29.0,2325.0,25.8,8.0,8.0,16.0,2.0,6.0,6.0,3.0,0.0,0.31,0.31,0.62,0.08,0.39,25.8,8.0,49.0,19.0,38.8,1.9,0.74,0.16,0.42,6.0,6.0,73.0,76.0,29,76.0,6,3,41.0,2,1.22,32.0,42.0,-10.0,-0.39,-0.02,0.0,13.0,16.0,6.0,172.0,15.0,19.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,2.567302881217449
GER-Bundesliga,2324,Freiburg,Yannik Keitel,GER,"DF,MF",23.0,2000.0,15.0,11.0,920.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,10.2,1.0,6.0,2.0,33.3,0.59,0.2,0.17,0.5,0.0,0.0,61.0,30.1,11,80.0,7,4,9.0,10,1.53,13.0,13.0,0.0,0.0,0.55,0.0,12.0,6.0,0.0,2.0,11.0,17.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,3.252283629478679
GER-Bundesliga,2324,Gladbach,Alassane Pléa,FRA,"FW,MF",30.0,1993.0,27.0,24.0,1913.0,21.3,7.0,4.0,11.0,6.0,1.0,1.0,1.0,0.0,0.33,0.19,0.52,0.28,0.47,21.3,7.0,58.0,19.0,32.8,2.73,0.89,0.12,0.37,1.0,1.0,71.0,62.5,24,75.0,5,3,34.0,0,1.0,37.0,41.0,-4.0,-0.19,0.36,0.0,15.0,29.0,6.0,43.0,2.0,6.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,1.8295862164597063
GER-Bundesliga,2324,Gladbach,Florian Neuhaus,GER,MF,26.0,1997.0,25.0,15.0,1224.0,13.6,4.0,2.0,6.0,3.0,1.0,1.0,4.0,0.0,0.29,0.15,0.44,0.22,0.37,13.6,4.0,38.0,16.0,42.1,2.79,1.18,0.11,0.25,1.0,1.0,49.0,40.0,15,71.0,2,10,16.0,7,1.04,22.0,24.0,-2.0,-0.15,0.29,0.0,9.0,18.0,0.0,10.0,13.0,12.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,3.0972133474827843
GER-Bundesliga,2324,Gladbach,Franck Honorat,FRA,"MF,FW",26.0,1996.0,32.0,28.0,2345.0,26.1,3.0,9.0,12.0,3.0,0.0,0.0,1.0,0.0,0.12,0.35,0.46,0.12,0.46,26.1,3.0,28.0,10.0,35.7,1.07,0.38,0.11,0.3,0.0,0.0,73.0,76.6,28,81.0,10,4,16.0,0,1.06,48.0,50.0,-2.0,-0.08,1.06,0.0,9.0,15.0,6.0,237.0,8.0,14.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,3.264219066356841
