,media global,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4
G-PK/90,0.25755381604696675,0.49584158415841584,0.2478294573643411,0.17183908045977012,0.10765957446808512,0.24489999999999998
Ast/90,0.1299412915851272,0.1381188118811881,0.06976744186046512,0.15919540229885057,0.08,0.22080000000000002
Sh/90,2.2971819960861053,3.047128712871287,2.278604651162791,2.0212643678160918,1.5843617021276597,2.4737999999999998
SoT%,37.78101761252446,44.55940594059406,38.80775193798449,38.34712643678161,30.753191489361704,35.724000000000004
Off/90,0.4186738238842646,0.5667221057847196,0.6361827447850943,0.2917712607122771,0.23861604815562013,0.26821809034728994
Crs/90,1.8508147091635416,0.7064535524837403,0.5644103242036074,3.8105950741543193,2.239306649391966,2.595889792651762
Fld/90,1.4238420539113061,1.0805678161908432,1.4988733307720292,1.0361230602973974,1.3880105248228818,2.0447558486458606
Fls/90,1.2955581927777668,1.184312248991405,1.6319343719512391,0.7943678822888615,1.4194828216343802,1.293537743868344
Int/90,0.3480647735847581,0.21611621914250156,0.20597837079995046,0.2757882282488993,0.5980983282633664,0.4924733262081448
TklW/90,0.6505212551768916,0.39067793079941726,0.43637034790603635,0.5711978817903031,1.0786269500411119,0.8558096648515093
