league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ESP-La Liga,2526,Real Madrid,Andriy Lunin,UKR,GK,26.0,1999.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,15.8,6,90.0,6,0,,27,2.0,12.0,8.0,4.0,0.67,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,1.17,23.0,16.0,69.6,3.0,2.0,1.0,1.0,16.7,0.0,0.0,0.0,0.0,,False,baja,2,Portero de área,3.6616817203805634
ESP-La Liga,2526,Real Madrid,Thibaut Courtois,BEL,GK,33.0,1992.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,84.2,32,90.0,32,0,,0,2.34,67.0,28.0,39.0,1.22,0.72,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,0.0,28.0,0.87,98.0,70.0,71.4,24.0,3.0,5.0,13.0,40.6,4.0,4.0,0.0,0.0,0.0,True,alta,1,Portero de bloque sólido,1.1461417140020072
ESP-La Liga,2526,Real Sociedad,Álex Remiro,ESP,GK,30.0,1995.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.4,37,90.0,37,0,,0,1.22,58.0,60.0,-2.0,-0.05,-0.05,0.0,0.0,7.0,1.0,0.0,1.0,1.0,,,1.0,60.0,1.62,159.0,99.0,62.3,11.0,12.0,14.0,3.0,8.1,5.0,5.0,0.0,0.0,0.0,True,alta,0,Portero muy exigido,1.8271376970147042
ESP-La Liga,2526,Sevilla,Odysseas Vlachodimos,GRE,GK,31.0,1994.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,86.8,33,90.0,33,0,,3,1.18,39.0,52.0,-13.0,-0.39,-0.19,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,0.0,52.0,1.58,140.0,88.0,62.9,11.0,6.0,16.0,5.0,15.2,10.0,8.0,1.0,1.0,11.1,True,alta,0,Portero muy exigido,1.4272818994101495
ESP-La Liga,2526,Sevilla,Ørjan Nyland,NOR,GK,34.0,1990.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,13.2,5,90.0,5,0,,32,0.8,7.0,8.0,-1.0,-0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.0,1.6,19.0,11.0,57.9,1.0,1.0,3.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,False,baja,0,Portero muy exigido,2.7504233701095147
ESP-La Liga,2526,Valencia,Julen Agirrezabala,ESP,GK,24.0,2000.0,18.0,18.0,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,47.4,18,90.0,18,0,,4,0.89,17.0,30.0,-13.0,-0.72,-0.92,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,30.0,1.67,83.0,52.0,63.9,3.0,7.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,25.0,True,alta,0,Portero muy exigido,1.1884314302428574
ESP-La Liga,2526,Valencia,Stole Dimitrievski,MKD,GK,31.0,1993.0,20.0,20.0,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,52.6,20,90.0,20,0,,15,1.65,29.0,25.0,4.0,0.2,0.92,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,,0.0,25.0,1.25,77.0,52.0,67.5,10.0,3.0,7.0,5.0,25.0,4.0,3.0,0.0,1.0,0.0,True,alta,2,Portero de área,1.0591191959199262
ESP-La Liga,2526,Villarreal,Arnau Tenas,ESP,GK,24.0,2001.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,26.3,10,90.0,10,0,,26,1.5,21.0,16.0,5.0,0.5,-0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,16.0,1.6,46.0,30.0,65.2,4.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,False,baja,0,Portero muy exigido,1.7236010154777324
ESP-La Liga,2526,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,24.0,2001.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,73.7,28,90.0,28,0,,10,2.04,51.0,30.0,21.0,0.75,0.25,0.0,2.0,4.0,0.0,0.0,1.0,0.0,,,0.0,30.0,1.07,102.0,72.0,70.6,18.0,3.0,7.0,8.0,28.6,6.0,5.0,1.0,0.0,16.7,True,alta,2,Portero de área,1.5634986779090467
FRA-Ligue 1,2526,Angers,Hervé Koffi,BFA,GK,28.0,1996.0,30.0,30.0,2658.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,86.9,30,89.0,29,0,,0,1.2,25.0,36.0,-11.0,-0.37,1.42,0.0,1.0,11.0,0.0,0.0,0.0,2.0,,,0.0,36.0,1.22,157.0,120.0,77.1,9.0,9.0,12.0,10.0,33.3,6.0,3.0,2.0,1.0,40.0,True,alta,2,Portero de área,3.0156247495079938
