,media global,cluster 0,cluster 1,cluster 2,cluster 3
Int/90,0.7619460931096282,0.6205247885142111,0.8324090651429673,0.41239135580188685,1.1218441507997297
TklW/90,1.0388094166986348,1.0760377590379744,1.0325703749147248,0.6504371437805225,1.3463141753702663
Fls/90,1.2222569815599755,1.5410332138836529,0.8700671493651128,0.970747420660335,1.4627790848199949
Fld/90,1.258703536714296,1.711733303570073,0.8647284312537237,1.367616650973406,1.11232662153653
CrdY/90,0.19498916228517596,0.27656308763651427,0.12139531363792946,0.11246225392200315,0.2585018549023285
Crs/90,2.325601567425015,2.538424519911424,3.0621389575118676,2.7961262457277747,1.1368525646140495
Off/90,0.16644335417285558,0.20476463625478547,0.10749588356823278,0.3268945654925049,0.04535709792563644
Ast/90,0.11579177602799649,0.12535055350553506,0.11861940298507462,0.18025089605734768,0.05015384615384615
G-PK/90,0.1253630796150481,0.1519188191881919,0.0625,0.25526881720430106,0.04353846153846154
Sh/90,1.4077252843394576,1.6322140221402213,0.9754477611940299,2.32415770609319,0.790276923076923
