league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ENG-Premier League,2526,Bournemouth,Eli Junior Kroupi,FRA,"MF,FW",19.0,2006.0,33.0,21.0,1672.0,18.6,13.0,0.0,13.0,11.0,2.0,2.0,5.0,0.0,0.7,0.0,0.7,0.59,0.59,18.6,13.0,52.0,22.0,42.3,2.8,1.18,0.25,0.59,2.0,2.0,51.0,48.9,21,71.0,0,12,16.0,5,1.45,31.0,21.0,10.0,0.54,0.85,0.0,27.0,12.0,6.0,10.0,9.0,6.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Nueve goleador,2.3692049026579323
ENG-Premier League,2526,Bournemouth,Evanilson,BRA,FW,25.0,1999.0,36.0,32.0,2742.0,30.5,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,0.2,0.03,0.23,0.2,0.23,30.5,6.0,72.0,23.0,31.9,2.36,0.75,0.08,0.26,0.0,0.0,76.0,80.2,32,81.0,9,4,36.0,0,1.47,43.0,40.0,3.0,0.1,-0.03,0.0,26.0,37.0,28.0,3.0,6.0,5.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,2.247597978345987
ENG-Premier League,2526,Brentford,Igor Thiago,BRA,FW,24.0,2001.0,38.0,37.0,3282.0,36.5,22.0,1.0,23.0,14.0,8.0,9.0,7.0,0.0,0.6,0.03,0.63,0.38,0.41,36.5,22.0,84.0,43.0,51.2,2.3,1.18,0.26,0.51,8.0,9.0,86.0,96.0,37,88.0,30,1,31.0,0,1.39,52.0,49.0,3.0,0.08,0.08,0.0,74.0,26.0,24.0,19.0,12.0,21.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,2.266434559451932
ENG-Premier League,2526,Brentford,Kevin Schade,GER,"MF,FW",23.0,2001.0,35.0,32.0,2745.0,30.5,8.0,3.0,11.0,8.0,0.0,1.0,6.0,1.0,0.26,0.1,0.36,0.26,0.36,30.5,8.0,57.0,24.0,42.1,1.87,0.79,0.14,0.33,0.0,1.0,78.0,80.3,32,82.0,18,3,39.0,0,1.37,41.0,34.0,7.0,0.23,0.76,0.0,50.0,43.0,10.0,23.0,19.0,27.0,,,0.0,,,,,,,,,,,,,,,,True,alta,4,Extremo regateador,2.0169379962957774
ENG-Premier League,2526,Brighton,Danny Welbeck,ENG,FW,34.0,1990.0,37.0,26.0,2258.0,25.1,13.0,1.0,14.0,12.0,1.0,3.0,5.0,0.0,0.52,0.04,0.56,0.48,0.52,25.1,13.0,56.0,28.0,50.0,2.23,1.12,0.23,0.46,1.0,3.0,61.0,66.0,26,79.0,7,11,18.0,0,1.41,33.0,28.0,5.0,0.2,0.12,0.0,31.0,10.0,5.0,3.0,8.0,14.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Nueve goleador,2.533572723327434
ENG-Premier League,2526,Brighton,Diego Gómez,PAR,"MF,FW",22.0,2003.0,32.0,26.0,2120.0,23.6,5.0,1.0,6.0,5.0,0.0,0.0,9.0,0.0,0.21,0.04,0.25,0.21,0.25,23.6,5.0,42.0,14.0,33.3,1.78,0.59,0.12,0.36,0.0,0.0,66.0,62.0,26,75.0,2,6,28.0,0,1.41,26.0,29.0,-3.0,-0.13,-0.75,0.0,49.0,11.0,1.0,23.0,19.0,49.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,3.0612662206687955
ENG-Premier League,2526,Brighton,Georginio Rutter,FRA,"MF,FW",23.0,2002.0,32.0,20.0,1786.0,19.8,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.15,0.15,0.3,0.15,0.3,19.8,3.0,42.0,14.0,33.3,2.12,0.71,0.07,0.21,0.0,0.0,56.0,52.2,20,78.0,4,12,19.0,4,1.38,27.0,20.0,7.0,0.35,0.41,0.0,30.0,34.0,11.0,20.0,11.0,19.0,,,1.0,,,,,,,,,,,,,,,,True,alta,4,Extremo regateador,1.8084819490430026
ENG-Premier League,2526,Brighton,Kaoru Mitoma,JPN,"MF,FW",28.0,1997.0,25.0,19.0,1721.0,19.1,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.16,0.05,0.21,0.16,0.21,19.1,3.0,32.0,13.0,40.6,1.67,0.68,0.09,0.23,0.0,0.0,69.0,50.3,19,82.0,10,6,28.0,0,1.4,24.0,20.0,4.0,0.21,0.1,0.0,31.0,21.0,4.0,46.0,8.0,12.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,1.6968471061661674
ENG-Premier League,2526,Burnley,Armando Broja,ALB,FW,23.0,2001.0,24.0,8.0,860.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.1,0.21,9.6,1.0,16.0,6.0,37.5,1.67,0.63,0.06,0.17,0.0,0.0,36.0,25.1,8,79.0,2,16,14.0,5,0.25,11.0,27.0,-16.0,-1.67,-0.94,0.0,14.0,16.0,6.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,False,baja,1,Nueve de choque,1.7247043488666427
ENG-Premier League,2526,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",26.0,1998.0,28.0,10.0,1030.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,11.4,0.0,17.0,4.0,23.5,1.49,0.35,0.0,0.0,0.0,0.0,37.0,30.1,10,67.0,0,18,20.0,4,0.61,12.0,29.0,-17.0,-1.49,-0.73,0.0,1.0,0.0,4.0,42.0,6.0,3.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Extremo centrador,4.117403961124076
